Date,Open,High,Low,Close,Adj Close,Volume
2017-01-23,67.059998,67.680000,66.669998,67.320000,61.725685,629700
2017-01-24,67.230003,68.290001,66.849998,67.949997,62.303329,647000
2017-01-25,68.089996,68.449997,67.699997,68.339996,62.660931,613800
2017-01-26,68.500000,68.900002,68.279999,68.830002,63.110222,623600
2017-01-27,68.919998,68.930000,68.099998,68.360001,62.679249,727600
2017-01-30,68.040001,68.260002,67.430000,68.180000,62.514214,762800
2017-01-31,68.360001,70.610001,67.260002,70.540001,64.678101,1482700
2017-02-01,70.470001,71.889999,70.290001,70.750000,64.870651,1340600
2017-02-02,70.669998,71.209999,70.029999,70.669998,64.797279,829700
2017-02-03,71.000000,71.000000,70.040001,70.339996,64.494713,974200
2017-02-06,70.050003,70.309998,69.599998,69.739998,63.944584,869800
2017-02-07,69.980003,70.139999,68.930000,69.360001,63.596169,1371200
2017-02-08,69.300003,69.379997,68.620003,68.879997,63.156052,996000
2017-02-09,69.320000,69.470001,68.809998,69.099998,63.357754,557600
2017-02-10,69.110001,70.000000,69.080002,69.769997,63.972092,877600
2017-02-13,69.790001,70.860001,69.440002,70.699997,64.824806,840300
2017-02-14,70.699997,71.040001,70.500000,70.779999,64.898132,682600
2017-02-15,71.029999,71.629997,70.510002,71.250000,65.329086,877000
2017-02-16,71.330002,71.589996,70.720001,71.339996,65.411606,879400
2017-02-17,71.129997,71.650002,70.800003,71.510002,65.567513,2710400
2017-02-21,71.599998,71.860001,71.269997,71.370003,65.439140,973300
2017-02-22,71.239998,71.760002,71.059998,71.239998,65.319931,825800
2017-02-23,71.430000,71.730003,71.169998,71.449997,65.512489,547300
2017-02-24,71.080002,71.790001,71.050003,71.449997,65.512489,871800
2017-02-27,71.570000,71.570000,70.919998,71.150002,65.237396,767200
2017-02-28,71.180000,71.330002,70.690002,71.110001,65.200745,1356000
2017-03-01,72.000000,72.519997,71.809998,72.180000,66.181824,1293700
2017-03-02,72.180000,72.339996,71.150002,71.250000,65.329086,892900
2017-03-03,71.209999,71.580002,70.680000,71.089996,65.182396,1104100
2017-03-06,70.809998,71.559998,70.629997,71.360001,65.429962,877400
2017-03-07,71.440002,71.440002,70.730003,70.930000,65.035698,738700
2017-03-08,70.989998,71.330002,70.660004,70.730003,64.852310,827200
2017-03-09,71.040001,71.269997,70.709999,71.080002,65.173210,720800
2017-03-10,71.309998,71.570000,70.269997,70.959999,65.063194,1085200
2017-03-13,70.879997,71.019997,70.430000,70.779999,64.898132,1056200
2017-03-14,70.650002,70.940002,70.510002,70.709999,64.833984,691500
2017-03-15,70.690002,70.910004,70.360001,70.820000,65.230042,956000
2017-03-16,70.779999,71.260002,70.370003,71.160004,65.543205,1099200
2017-03-17,71.120003,71.459999,70.849998,70.879997,65.285294,1551600
2017-03-20,70.650002,71.029999,70.540001,70.769997,65.183975,632600
2017-03-21,71.050003,71.209999,69.690002,69.739998,64.235268,1142600
2017-03-22,69.809998,69.959999,69.389999,69.699997,64.198441,712700
2017-03-23,69.769997,70.220001,69.610001,69.730003,64.226082,839900
2017-03-24,69.919998,70.540001,69.680000,69.849998,64.336601,844700
2017-03-27,69.269997,69.400002,68.790001,69.010002,63.562901,525900
2017-03-28,68.980003,69.389999,68.599998,69.139999,63.682636,969400
2017-03-29,68.970001,69.010002,68.430000,68.669998,63.249737,601100
2017-03-30,68.699997,69.510002,68.519997,69.389999,63.912910,895000
2017-03-31,69.169998,69.639999,68.879997,69.449997,63.968182,900500
2017-04-03,69.279999,69.599998,68.830002,68.910004,63.470783,677800
2017-04-04,68.830002,68.940002,68.070000,68.629997,63.212879,800000
2017-04-05,69.019997,69.900002,68.550003,69.089996,63.636578,799700
2017-04-06,69.040001,69.639999,68.720001,69.129997,63.673435,538200
2017-04-07,68.769997,69.580002,68.739998,69.220001,63.756329,822300
2017-04-10,69.279999,69.709999,69.110001,69.360001,63.885265,676600
2017-04-11,69.070000,69.330002,68.510002,69.000000,63.553692,701700
2017-04-12,68.900002,68.910004,68.430000,68.680000,63.258930,685800
2017-04-13,68.580002,68.690002,67.919998,68.110001,62.733936,783400
2017-04-17,68.230003,69.099998,68.089996,69.080002,63.627377,597400
2017-04-18,68.809998,69.239998,68.430000,69.099998,63.645790,1041700
2017-04-19,69.419998,69.639999,69.070000,69.169998,63.710247,488600
2017-04-20,69.580002,70.209999,69.129997,70.120003,64.585289,685000
2017-04-21,69.970001,70.300003,69.660004,69.910004,64.391869,833600
2017-04-24,70.830002,70.989998,70.110001,70.449997,64.889229,1117200
2017-04-25,70.879997,70.970001,70.440002,70.529999,64.962921,760500
2017-04-26,70.220001,70.540001,68.930000,69.540001,64.051071,1873500
2017-04-27,69.419998,69.519997,68.279999,68.669998,63.249737,1561200
2017-04-28,68.650002,69.019997,68.360001,68.870003,63.433952,1026800
2017-05-01,69.239998,69.239998,68.430000,68.440002,63.037899,626700
2017-05-02,68.449997,68.639999,68.019997,68.360001,62.964203,570500
2017-05-03,68.339996,68.529999,67.279999,67.809998,62.457626,1213500
2017-05-04,68.099998,68.099998,67.300003,67.959999,62.595772,850000
2017-05-05,67.959999,68.070000,67.529999,67.910004,62.549736,579100
2017-05-08,67.900002,68.029999,66.739998,67.029999,61.739185,982800
2017-05-09,67.180000,67.400002,66.730003,66.750000,61.481285,1186400
2017-05-10,66.660004,66.820000,65.980003,66.750000,61.481285,984100
2017-05-11,66.750000,67.330002,66.279999,67.199997,61.895760,1359900
2017-05-12,67.010002,67.730003,66.970001,67.550003,62.218147,1067700
2017-05-15,67.440002,68.070000,67.440002,67.769997,62.420765,839600
2017-05-16,67.750000,67.839996,67.250000,67.370003,62.052357,766800
2017-05-17,66.769997,67.220001,66.620003,66.730003,61.462875,827400
2017-05-18,66.739998,66.930000,65.980003,66.739998,61.472073,1411900
2017-05-19,66.790001,67.510002,66.610001,67.440002,62.116825,937500
2017-05-22,67.699997,67.989998,67.370003,67.910004,62.549736,685300
2017-05-23,67.970001,68.139999,67.680000,67.930000,62.568134,427500
2017-05-24,68.160004,68.320000,67.660004,67.669998,62.328651,542500
2017-05-25,67.669998,68.330002,67.620003,68.190002,62.807632,411400
2017-05-26,68.150002,68.300003,67.540001,67.580002,62.245770,561600
2017-05-30,67.480003,67.709999,67.199997,67.419998,62.098396,618900
2017-05-31,67.680000,68.059998,67.290001,67.650002,62.310249,1148300
2017-06-01,68.050003,68.129997,67.379997,67.870003,62.512882,699400
2017-06-02,68.019997,68.019997,67.370003,67.500000,62.172096,521800
2017-06-05,67.510002,68.480003,67.510002,67.870003,62.512882,605100
2017-06-06,67.720001,68.320000,67.500000,68.260002,62.872078,630000
2017-06-07,68.540001,69.650002,68.349998,69.599998,64.106331,857500
2017-06-08,69.610001,70.489998,69.610001,70.209999,64.668190,977000
2017-06-09,70.809998,70.809998,70.279999,70.540001,64.972130,1120700
2017-06-12,70.459999,70.879997,70.309998,70.400002,64.843193,1020100
2017-06-13,70.480003,71.930000,70.480003,71.489998,65.847137,932600
2017-06-14,71.040001,71.419998,70.860001,71.050003,65.791588,1438800
2017-06-15,70.870003,71.050003,70.550003,70.949997,65.698982,1296300
2017-06-16,70.540001,71.190002,70.540001,71.160004,65.893448,1309300
2017-06-19,71.410004,71.449997,70.970001,71.139999,65.874924,861100
2017-06-20,70.949997,71.040001,70.169998,70.269997,65.069321,875500
2017-06-21,70.400002,70.430000,69.570000,69.760002,64.597069,628300
2017-06-22,69.760002,69.870003,69.449997,69.529999,64.384071,418900
2017-06-23,69.669998,69.959999,69.580002,69.860001,64.689674,898000
2017-06-26,69.930000,70.379997,69.809998,70.300003,65.097107,818800
2017-06-27,70.370003,70.970001,70.300003,70.680000,65.448990,582500
2017-06-28,70.940002,71.839996,70.790001,71.629997,66.328644,691800
2017-06-29,72.000000,72.139999,71.250000,71.540001,66.245323,764300
2017-06-30,71.580002,71.959999,71.480003,71.489998,66.199013,660200
2017-07-03,71.510002,72.279999,71.489998,71.650002,66.347176,473300
2017-07-05,71.690002,72.139999,71.540001,71.680000,66.374962,927300
2017-07-06,71.540001,71.669998,71.160004,71.260002,65.986046,629100
2017-07-07,71.400002,71.779999,70.940002,71.629997,66.328644,612500
2017-07-10,71.519997,71.830002,71.320000,71.339996,66.060120,462000
2017-07-11,71.300003,71.790001,71.000000,71.199997,65.930504,980100
2017-07-12,71.169998,71.519997,70.930000,71.330002,66.050865,556600
2017-07-13,71.500000,71.879997,71.269997,71.540001,66.245323,640900
2017-07-14,71.309998,71.680000,70.660004,71.059998,65.800835,508600
2017-07-17,71.019997,71.800003,70.730003,71.489998,66.199013,902100
2017-07-18,71.360001,71.790001,71.070000,71.699997,66.393471,562200
2017-07-19,71.699997,71.879997,71.400002,71.809998,66.495338,526400
2017-07-20,71.820000,72.150002,71.709999,72.019997,66.689804,590600
2017-07-21,71.949997,72.790001,71.949997,72.739998,67.356506,846300
2017-07-24,72.389999,72.769997,72.389999,72.639999,67.263916,485600
2017-07-25,73.029999,73.349998,72.570000,72.739998,67.356506,780900
2017-07-26,69.760002,74.529999,69.519997,74.449997,68.939980,987600
2017-07-27,74.500000,75.230003,73.699997,74.330002,68.828835,1269000
2017-07-28,74.320000,74.739998,74.110001,74.370003,68.865883,518300
2017-07-31,74.449997,74.650002,74.269997,74.370003,68.865883,646700
2017-08-01,74.430000,74.820000,74.110001,74.779999,69.245529,708500
2017-08-02,74.760002,74.919998,74.379997,74.669998,69.143669,388100
2017-08-03,74.589996,75.269997,74.529999,75.089996,69.532585,558200
